"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C11,C16,C24,C25","1uF","~","Capacitor_SMD:C_0402_1005Metric","5",""
"C2,C14,C15,C18,C21,C22,C23","100nF","~","Capacitor_SMD:C_0402_1005Metric","7",""
"D2","LED","~","LED_THT:LED_D3.0mm","1",""
"FB2","120R","~","Inductor_SMD:L_0603_1608Metric","1",""
"J1,J2,J3,J4,J6","532610671","532610671","co2_sensor_footprint:CON_532610671","5",""
"J5","Conn_01x04_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J8,J10,J13,J14","39-53-2045","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/559/5597/039532045_sd.pdf?inline","microfluidics:39532045","4",""
"J11,J12","Conn_01x14_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","2",""
"J16","Conn_01x02_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J18","EJ508A","","barrel_jack_EJ508A:MPD_EJ508A","1",""
"PE1","PeltierElement","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"Q1,Q3","NDT3055L","https://www.onsemi.com/pdf/datasheet/ndt3055l-d.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","2",""
"R1,R3","10,000R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R2","220R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"SW2","SW_Nidec_CAS-120A1","https://www.nidec-components.com/e/catalog/switch/cas.pdf","Button_Switch_SMD:Nidec_Copal_CAS-120A","1",""
"U1","LM2576HVS-3.3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U4","LM2576HVS-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U6","STM32F410C8Tx","https://www.st.com/resource/en/datasheet/stm32f410c8.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""